RANK,name,YoY_Analysis_Aug'24,YoY_Analysis_Aug'23,YoY_Growth_(%),MoM_Analysis_Aug'24,MoM_Analysis_July'24,MoM_Growth_(%),Market_Share_Aug'24_(%),Market_Share_Aug'23_(%),Market_Share_Dif_(%)
1,Maruti Suzuki,143075,156114,-8.4,143075,137463,4.1,40.4,43.3,-3
2,Hyundai,49525,53830,-8,49525,49013,1,14,14.9,-1
3,Tata,44142,45515,-3,44142,44727,-1.3,12.5,12.6,-0.2
4,Mahindra,43277,37270,16.1,43277,41623,4,12.2,10.3,1.9
5,Toyota,28589,20970,36.3,28589,29533,-3.2,8.1,5.8,2.2
6,Kia,22523,19129,17.2,22523,20507,9.8,6.4,5.3,1
7,Honda,5326,7880,-32.4,5326,4624,15.2,1.5,2.2,-0.7
8,MG,4571,4185,9.2,4571,4572,0,1.3,1.2,0.1
9,VW,3577,4174,-14.3,3577,3407,5,1,1.2,-0.1
10,Renault,3018,3633,-16.9,3018,2832,6.6,0.9,1,-0.2
11,Skoda,2772,4307,-35.6,2772,2103,31.8,0.8,1.2,-0.4
12,Nissan,2257,2258,0,2257,2011,12.2,0.6,0.6,0
13,Citroen,1275,576,121.4,1275,335,280.6,0.4,0.2,0.2
14,Jeep,340,299,13.7,340,276,23.2,0.1,0.1,0
